点灯屏表IVS_LCD_InspectionResult数据,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
,,,"（注意，以下表述里，屏的分辨率 是指检测模板建模时输入的分辨率，一般就等于产品规格书的分辨率，但有时为了提计算效率，建立检测模板会故意把分辨率减半，此时相关的坐标、尺寸等就以减半后的分辨率为基准了，因此可能需要乘以个系数转换一下）
（栅格图=软件将相机原始图降采样到检测模板所设置的分辨率大小的图像）",,
已有的（标红为相对重要的）,,,,,
字段,含义,取值,说明,GMQM对应字段,DFS对应字段
SysID,自增ID,数字,,,
GUID,本条数据数据唯一标识符,如 {88596F57-D47D-4534-92B4-EBECBB2759B2},全球唯一标识符,检测记录的全局唯一标识GUID,
ScreenID,屏二维码,,,,
DeviceID,AOI检测设备号（来自主检配置文件）,,,设备标识（或由ICW单独提供）,
PlatformID,屏在本主检工位的位置号,一般从左到右为0、1、2、3…,,,
ShiftID,暂无用,,,,
LotID,暂无用,,,,
ModelName,主检检测模板名（配方名）,如 2020_03_22_ShenChao,,检测配方ID（或由ICW单独提供）,
StartTime,主检检测开始时间,如 2020-11-28 13:09:25.390,,检测开始时间,
StopTime,主检检测结束时间,如 2020-11-28 13:09:41.210,,检测结束时间,
Status,主检检测状态,"当内部检测进行时时=正常；
当内部检测未正常进行时，可能为=图像采集失败、缺失或严重不良、点灯异常、双目异常 等",,,
AOIResult,主检检测结果,"OK=良品
NG=出现检测状态异常（此时Status不是 正常）
BrightDot=点（亮）
BlackDot=点（暗）
Line=线
Mura=色斑
Block=块
BM=边缘BM缺陷
Other=其他类（未能判定类型，一般不会出现）",,检测结果（OK/NG 等等）,
ReviewResult_Worker,人工复判结果,常规情况下为OK或NG,,屏人工复判后整体判定OK或NG（可能为空）,
ReviewResult_Machine,自动复检检测结果,取值同AOIResult方式,,,
AllPerspectiveResult,全视角检测结果,取值同AOIResult方式,,,
MarkID,屏号,来自 IDMap 表中ICW写入的对应值，如05,,,
ProcessType,暂无用,,,,
